10:33:09:109 [ALWAYS]	GUDE Logging Started
10:33:09:110 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
10:33:09:110 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
10:33:09:110 [ERROR]	Initialize resume cache pointer failure
10:33:09:110 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
10:33:09:110 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
10:33:11:704 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
10:33:11:704 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
10:33:11:704 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
10:33:11:704 [ERROR]	Initialize resume cache pointer failure
10:33:11:705 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
10:33:11:705 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
