10:40:00:570 [ALWAYS]	GUDE Logging Started
10:40:00:570 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
10:40:00:570 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
10:40:00:570 [ERROR]	Initialize resume cache pointer failure
10:40:00:571 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
10:40:00:571 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
10:40:02:690 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
10:40:02:691 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
10:40:02:691 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
10:40:02:691 [ERROR]	Initialize resume cache pointer failure
10:40:02:691 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
10:40:02:691 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
